------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |               Ritz    |  Rel. |     Aki    | Acc. |                 Ei           Ek                  | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |               Line  |
            Wavelength |            Wavelength |  Int. |     s^-1   |      |                (eV)         (eV)                 |                 |            |           |         |    |   Ref. |               Ref.  |
             Vac (nm)  |             Vac (nm)  |  (?)  |            |      |                                                  |                 |            |           |         |    |        |                     |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     388.796808965     |       |            |      |   10.201584886324      -    [13.38960145015]     |     2s - 8p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
     388.79902         |     388.79907         |       |  2.2153e+05| AA   |  [10.201604]           -    [13.38960253]        |      2 - 8      |            |           |         |    |  T8637 |  L46,L1890,c27,c52  |
     388.80158         |     388.80169354      |       |            |      |   10.201625881         -     13.389602394575     |     2p - 8d     |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |        |      L46,L1890,c27  |
     388.80159         |     388.80170         |       |            |      |                                                  |                 |            |           |         |    |        |  L46,L1890,c27,c53  |
                       |     388.80172239      |       |            |      |   10.201625881         -     13.389602158235     |     2p - 8d     |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     388.80180027      |       |            |      |   10.201625881         -     13.389601519456     |     2p - 8s     |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |        |                     |
     396.89619         |     396.8961791       |       |            |      |   10.2015805055        -    [13.324541382]       |     2p - 7d     |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |        |      L46,L1890,c27  |
                       |     396.896301        |       |            |      |   10.2015805055        -    [13.324540425]       |     2p - 7s     |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |        |                     |
     396.89650         |     396.89648         |       |            |      |                                                  |                 |            |           |         |    |        |  L46,L1890,c27,c54  |
                       |     396.896736        |       |            |      |   10.201584886324      -    [13.324541379]       |     2s - 7p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     396.896871        |       |            |      |   10.201584886324      -    [13.324540322]       |     2s - 7p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |        |                     |
     396.89923         |     396.89919         |       |  4.3901e+05| AA   |  [10.201604]           -    [13.32454188]        |      2 - 7      |            |           |         |    |  T8637 |  L46,L1890,c27,c55  |
     396.90192         |     396.9019013       |       |            |      |   10.201625881         -    [13.324541735]       |     2p - 7d     |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |        |      L46,L1890,c27  |
     396.90193         |     396.90191         |       |            |      |                                                  |                 |            |           |         |    |        |  L46,L1890,c27,c56  |
                       |     396.9019461       |       |            |      |   10.201625881         -    [13.324541382]       |     2p - 7d     |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |        |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     396.902068        |       |            |      |   10.201625881         -    [13.324540425]       |     2p - 7s     |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |        |                     |
     410.05862         |     410.0586489       |       |  4.2888e+06| AA   |   10.2015805055        -    [13.224299562]       |     2p - 6d     |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |  T8637 |      L46,L1890,c27  |
                       |     410.058856        |       |  2.4507e+05| AA   |   10.2015805055        -    [13.224298032]       |     2p - 6s     |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |  T8637 |                     |
     410.05896         |     410.05898         |       |            |      |                                                  |                 |            |           |         |    |        |  L46,L1890,c27,c57  |
                       |     410.059245        |       |  2.8591e+06| AA   |   10.201584886324      -    [13.224299550]       |     2s - 6p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T8637 |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     410.059473        |       |  2.8592e+06| AA   |   10.201584886324      -    [13.224297869]       |     2s - 6p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |                     |
     410.06186         |     410.06188         |       |  9.7346e+05| AA   |  [10.201604]           -    [13.22430021]        |      2 - 6      |            |           |         |    |  T8637 |  L46,L1890,c27,c58  |
     410.06470         |     410.0647287       |       |  5.1464e+06| AA   |   10.201625881         -    [13.224300123]       |     2p - 6d     |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |  T8637 |      L46,L1890,c27  |
     410.06471         |     410.06474         |       |            |      |                                                  |                 |            |           |         |    |        |  L46,L1890,c27,c59  |
                       |     410.0648047       |       |  8.5772e+05| AA   |   10.201625881         -    [13.224299562]       |     2p - 6d     |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |  T8637 |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     410.065012        |       |  4.9020e+05| AA   |   10.201625881         -    [13.224298032]       |     2p - 6s     |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |  T8637 |                     |
     433.92464         |     433.9246180       |       |  7.8569e+06| AA   |   10.2015805055        -    [13.058052299]       |     2p - 5d     |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |  T8637 |      L46,L1890,c27  |
                       |     433.925020        |       |  4.2967e+05| AA   |   10.2015805055        -    [13.058049653]       |     2p - 5s     |  2P* - 2S  | 1/2 - 1/2 |  2 - 2  |    |  T8637 |                     |
     433.92504         |     433.92501         |       |            |      |                                                  |                 |            |           |         |    |        |  L46,L1890,c27,c60  |
                       |     433.925288        |       |  4.9497e+06| AA   |   10.201584886324      -    [13.058052274]       |     2s - 5p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T8637 |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     433.925729        |       |  4.9498e+06| AA   |   10.201584886324      -    [13.058049370]       |     2s - 5p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |                     |
     433.92833         |     433.92827         |       |  2.5311e+06| AA   |  [10.201604]           -    [13.0580531]         |      2 - 5      |            |           |         |    |  T8637 |  L46,L1890,c27,c61  |
     433.93137         |     433.9313642       |       |  9.4279e+06| AA   |   10.201625881         -    [13.058053268]       |     2p - 5d     |  2P* - 2D  | 3/2 - 5/2 |  4 - 6  |    |  T8637 |      L46,L1890,c27  |
     433.93140         |     433.93139         |       |            |      |                                                  |                 |            |           |         |    |        |  L46,L1890,c27,c62  |
                       |     433.9315113       |       |  1.5713e+06| AA   |   10.201625881         -    [13.058052299]       |     2p - 5d     |  2P* - 2D  | 3/2 - 3/2 |  4 - 4  |    |  T8637 |                     |
                       |                       |       |            |      |                                                  |                 |            |           |         |    |        |                     |
                       |     433.931913        |       |  8.5943e+05| AA   |   10.201625881         -    [13.058049653]       |     2p - 5s     |  2P* - 2S  | 3/2 - 1/2 |  4 - 2  |    |  T8637 |                     |
     485.99564         |     485.99562225      |       |  1.7193e+07| AA   |   10.2015805055        -    [12.7520060777]      |     2p - 4d     |  2P* - 2D  | 1/2 - 3/2 |  2 - 4  |    |  T8637 |      L46,L1890,c27  |
     485.99609676      |     485.99609676      |       |            |      |   10.201584886324      -     12.75200796839      |     2s - 4d     |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |        |              L9496  |
     485.99618         |     485.99617         |       |            |      |                                                  |                 |            |           |         |    |        |  L46,L1890,c27,c63  |
