---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |                Ritz    |    Rel. |     Aki    | Acc. |                 Ei           Ek                   | Configurations  |    Terms   |  Ji   Jk  | gi   gk |Type|    TP  |       Line  |
             Wavelength |             Wavelength |    Int. |     s^-1   |      |                (eV)         (eV)                  |                 |            |           |         |    |   Ref. |       Ref.  |
              Vac (nm)  |              Vac (nm)  |    (?)  |            |      |                                                   |                 |            |           |         |    |        |             |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
      94.97431001       |      94.97431002       |         |            |      |    0.0000000000000     -    [13.054497634]        |     1s - 5s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |  L15291c36  |
      97.2517           |      97.253674         |   83000 |  1.2785e+07| AAA  |    0.0000000000000     -     12.7485385           |     1s - 4      |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |      L8834  |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
                        |      97.2536984969     |         |            |      |    0.0000000000000     -     12.74853218633       |     1s - 4s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |        |             |
      97.2541           |      97.2536594376     |         |  6.8186e+07| AAA  |    0.0000000000000     -     12.74853730643       |     1s - 4p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T8637 |      L8445  |
      97.2541           |      97.2537026950     |         |  6.8186e+07| AAA  |    0.0000000000000     -     12.74853163601       |     1s - 4p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |      L8445  |
                        |     102.572144677      |         |  5.937e+02 | AAA  |    0.0000000000000     -     12.087510790         |     1s - 3d     |  2S  - 2D  | 1/2 - 5/2 |  2 - 6  | E2 |  T7651 |             |
                        |     102.572182693      |         |  5.938e+02 | AAA  |    0.0000000000000     -     12.087506310         |     1s - 3d     |  2S  - 2D  | 1/2 - 3/2 |  2 - 4  | E2 |  T7651 |             |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
                        |     102.572285517      |         |  1.109e-06 | AAA  |    0.0000000000000     -     12.087494193         |     1s - 3s     |  2S  - 2S  | 1/2 - 1/2 |  2 - 2  | M1 |  T7651 |             |
     102.5728           |     102.572182505      |         |  1.6725e+08| AAA  |    0.0000000000000     -     12.087506332         |     1s - 3p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T8637 |      L3545  |
     102.5728           |     102.57222          |  250000 |  5.5751e+07| AAA  |    0.0000000000000     -     12.087504            |     1s - 3      |  2S  -     | 1/2 -     |  2 -    |    |  T8637 |      L3545  |
     102.5728           |     102.572296565      |         |  1.6725e+08| AAA  |    0.0000000000000     -     12.087492891         |     1s - 3p     |  2S  - 2P* | 1/2 - 1/2 |  2 - 2  |    |  T8637 |      L3545  |
     121.56699          |     121.5668237310     |         |  6.2648e+08| AAA  |    0.0000000000000     -     10.1988508663        |     1s - 2p     |  2S  - 2P* | 1/2 - 3/2 |  2 - 4  |    |  T8637 |     L12020  |
                        |                        |         |            |      |                                                   |                 |            |           |         |    |        |             |
